zip,2018-07
1001,202700
1007,266300
1013,175600
1020,174800
1027,272700
1028,243900
1040,172900
1075,239600
1082,174900
1085,207200
1089,192700
1095,304800
1104,144800
1106,312800
1108,144800
1118,171700
1119,156000.00
1420,199700
1453,246900
1462,270300
1463,334700
1475,197200
1501,236100
1507,289100
1520,297600
1527,285000.00
1532,444500
1545,376100
1550,199500
1569,294700
1570,228500
1581,428400
1602,234300
1603,195200
1604,211400
1605,207300
1606,224800
1701,434300
1702,299400
1720,505400
1721,396000.00
1730,673500
1746,445400
1749,325600
1752,356900
1757,327000.00
1760,523300
1778,728400
1801,
1803,550300
1810,615100
1821,423500
1824,423300
1830,302500
1832,275900
1835,273700
1843,285900
1844,325200
1850,248600
1851,259000.00
1852,271700
1854,249400
1864,406300
1867,508100
1876,380200
1880,522000.00
1886,510500
1887,519200
1902,303400
1904,379500
1905,297700
1906,441200
1913,313800
1915,422800
1923,445900
1930,397100
1938,425700
1940,610200
1945,620600
1960,399600
1970,348200
2019,318800
2021,443000.00
2026,495200
2035,463700
2038,403800
2048,364000.00
2050,424500
2053,481900
2061,595000.00
2062,463500
2066,602400
2067,558300
2072,353400
2081,495800
2116,1105300
2118,980000.0
2122,478500
2124,442900
2127,637400
2129,748300
2130,602600
2131,492700
2132,535300
2135,478000.00
2136,425200
2139,
2143,705600
2148,430200
2149,401300
2150,340000.0
2151,373700
2152,434000.00
2155,574600
2169,357100
2171,480800
2176,569100
2180,449200
2184,459900
2186,749900
2188,360300
2189,328400
2190,356100
2191,336900
2301,282000.00
2302,278000.00
2324,325900
2330,330800
2332,640400
2333,356500
2339,509200
2343,331700
2346,298200
2347,362800
2351,348300
2359,357900
2360,357300
2368,337200
2370,324900
2382,324200
2420,957600
2421,957500
2445,1029600
2446,896700
2451,535300
2453,537800
2472,508400
2474,685000.00
2476,671800
2478,1063300
2481,1386500
2492,978600
2571,250700
2703,285300
2719,271500
2720,214100
2726,291300
2740,195300
2745,223700
2747,278900
2760,336000.00
2766,318900
2767,396500
2771,310300
2777,276300
2780,250800
2790,328800
2806,
2816,
2842,317800
2852,335100
2860,174000.00
2861,208200
2871,344800
2878,
2879,360600
2882,429200
2888,228300
2889,
2891,295800
2893,223200
2895,157500
2896,285000.00
2904,174500
2908,185000.00
2909,156600
2910,200500
2911,222000.00
2914,215800
2915,230200
2916,264700
2917,272800
2919,231000.00
3038,
3087,417500
3801,434800
3820,265200
3842,326000.00
3867,190200
3878,240000.0
6001,346500
6002,193800
6010,153500
6029,242200
6033,310500
6037,243900
6040,158100
6042,169600
6053,154000.00
6062,184600
6067,204800
6070,310100
6074,235200
6082,179200
6084,227800
6095,205900
6096,166400
6107,365200
6109,223400
6111,214300
6117,316300
6118,147900
6119,280900
6401,176100
6405,255500
6410,336700
6437,362100
6443,410800
6450,146400
6457,163100
6460,284900
6468,313200
6470,384000.00
6473,271800
6475,412900
6478,350500
6484,331100
6488,218700
6489,260800
6492,233800
6512,175500
6513,130900
6514,172100
6516,169900
6611,383400
6614,240700
6615,231300
6704,68800
6708,125600
6770,150400
6801,312300
6804,304500
6810,251800
6811,280100
6820,1317200
6824,636300
6825,426500
6851,417100
6877,640300
6880,1047000.000
6883,681300
6896,589200
6897,703600
6902,400900
6905,464100
7005,420800
7008,242400
7011,331100
7012,357500
7013,344200
7026,338000.00
7031,391900
7035,309300
7054,474900
7055,265800
7059,
7067,326800
7070,422200
7071,364100
7080,299700
7095,250000.0
7405,348200
7410,482000.00
7424,358100
7430,510900
7442,261100
7444,399100
7450,710000.0
7452,644400
7461,185300
7470,407800
7480,254200
7481,646600
7506,358000.00
7508,
7601,241800
7621,348200
7628,374200
7631,403900
7646,376100
7650,639700
7652,609900
7666,381900
7670,690900
7675,505400
7712,349800
7719,457600
7728,
7731,303300
7747,334100
7801,291600
7834,358900
7840,244000.00
7849,243200
7853,437000.00
7860,225400
7866,332400
7869,447200
7871,358400
